Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Cat_Nav,Chrome 116.0.0.0,,,2023-08-29 10:48:06,2023-08-29 10:48:18,11.995s,PASSED
,,,,,,,
Test Cases/TC_Cat_Nav,Chrome 116.0.0.0,,,2023-08-29 10:48:07,2023-08-29 10:48:18,11.734s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-29 10:48:07,2023-08-29 10:48:09,2.509s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-29 10:48:09,2023-08-29 10:48:10,0.884s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 116.0.0.0,,,2023-08-29 10:48:10,2023-08-29 10:48:11,0.487s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-29 10:48:11,2023-08-29 10:48:12,1.141s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/img""))",Chrome 116.0.0.0,,,2023-08-29 10:48:12,2023-08-29 10:48:13,0.754s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_FL-DSH-01""))",Chrome 116.0.0.0,,,2023-08-29 10:48:13,2023-08-29 10:48:13,0.680s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_EST-14""))",Chrome 116.0.0.0,,,2023-08-29 10:48:13,2023-08-29 10:48:15,1.414s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_Add to Cart""))",Chrome 116.0.0.0,,,2023-08-29 10:48:15,2023-08-29 10:48:16,0.735s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/input_Sub Total 58.50_updateCartQuantities""))",Chrome 116.0.0.0,,,2023-08-29 10:48:16,2023-08-29 10:48:16,0.634s,PASSED
"click(findTestObject(""Object Repository/visualtest/Page_JPetStore Demo/a_Return to Main Menu""))",Chrome 116.0.0.0,,,2023-08-29 10:48:16,2023-08-29 10:48:17,0.676s,PASSED
"takeFullPageScreenshotAsCheckpoint(""HomePage_UI_ScreenSHot"")",Chrome 116.0.0.0,,,2023-08-29 10:48:17,2023-08-29 10:48:18,0.754s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-29 10:48:18,2023-08-29 10:48:18,0.657s,PASSED
